"Berichtshafen";"Wien";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Graz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Klagenfurt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Linz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Innsbruck";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Salzburg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Verkehrsbeziehung";"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;
"Werte";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";
"Zeit";
"Okt.20";3485;;189852;;-;;8973683;;263459;;3501;;186206;;186206;;4151760;;323601;;-;;2049;;-;;2649757;;1972;;167;;4896;;-;;232;;-;;167;;5048;;5048;;267;;-;;-;;62;;-;;-;;-;;54;;1547;;-;;-;;-;;54;;1845;;1845;;-;;-;;-;;-;;-;;-;;-;;52;;206;;-;;271957;;-;;52;;95;;95;;823597;;-;;-;;-;;-;;74979;;-;;64;;2104;;-;;-;;-;;67;;1861;;1861;;-;;-;;-;;33;;-;;-;;-;;139;;7577;;-;;6;;-;;139;;7522;;7522;;191;;-;;-;;-;;-;;-;;-;;
"J�n.15";8067;;647770;;-;;8267872;;442267;;8088;;665168;;665168;;5656526;;696778;;-;;10744;;-;;2800291;;10678;;465;;22829;;-;;2274;;-;;464;;24595;;24595;;4967;;-;;-;;192;;-;;-;;-;;172;;7401;;-;;-;;-;;169;;8167;;8167;;-;;-;;-;;-;;-;;-;;-;;332;;12924;;-;;152274;;-;;329;;13492;;13492;;252599;;71;;-;;95;;-;;207795;;-;;800;;79597;;-;;5384;;-;;794;;78768;;78768;;8166;;-;;-;;-;;-;;-;;-;;1079;;110463;;-;;6143;;-;;1076;;111963;;111963;;7245;;-;;-;;651;;-;;-;;-;;
"Feb.15";7588;;648292;;-;;8050323;;327083;;7591;;641529;;641529;;6031509;;550532;;-;;8638;;-;;2132581;;12875;;485;;26019;;-;;3269;;-;;485;;26546;;26546;;41415;;-;;-;;106;;-;;-;;-;;141;;7609;;-;;-;;-;;142;;7472;;7472;;-;;-;;-;;-;;-;;-;;-;;305;;13833;;-;;162450;;-;;305;;13735;;13735;;289845;;-;;-;;631;;-;;229624;;-;;730;;80805;;-;;5333;;-;;732;;79110;;79110;;8645;;-;;-;;-;;-;;-;;-;;957;;104958;;-;;7738;;-;;957;;103404;;103404;;9787;;-;;-;;849;;-;;-;;-;;
"M�r.15";9158;;829841;;-;;9673026;;422436;;9166;;840002;;840002;;7685281;;665667;;-;;8608;;-;;2017649;;4729;;583;;32081;;-;;3233;;-;;579;;33400;;33400;;5943;;-;;-;;276;;-;;-;;-;;165;;8985;;-;;-;;-;;165;;9278;;9278;;-;;-;;-;;1;;-;;-;;-;;354;;15636;;-;;177970;;-;;355;;16960;;16960;;314007;;11;;-;;122;;-;;121701;;-;;769;;78343;;-;;5050;;-;;775;;85597;;85597;;6698;;-;;-;;-;;-;;-;;-;;965;;90598;;-;;4002;;-;;968;;102504;;102504;;11085;;-;;-;;1149;;-;;-;;-;;
"Apr.15";9660;;968666;;-;;9240698;;365986;;9655;;939079;;939079;;7623395;;630755;;-;;7488;;-;;2148089;;6349;;608;;37528;;-;;2556;;-;;609;;37651;;37651;;5264;;-;;-;;93;;-;;-;;-;;181;;8342;;-;;-;;-;;182;;8865;;8865;;-;;-;;-;;74;;-;;-;;-;;314;;18135;;-;;177494;;62;;313;;19500;;19500;;437886;;-;;-;;379;;-;;326232;;-;;426;;28497;;-;;5601;;-;;427;;37364;;37364;;5512;;-;;-;;358;;-;;-;;-;;705;;53689;;-;;7903;;-;;704;;58778;;58778;;9462;;-;;-;;806;;-;;-;;-;;
"Mai.15";10154;;1028933;;-;;8890056;;346455;;10163;;1034353;;1034353;;7418343;;604550;;-;;6445;;-;;2343522;;6002;;698;;43891;;-;;105973;;-;;697;;44287;;44287;;4187;;-;;-;;789;;-;;-;;-;;198;;10317;;-;;-;;-;;196;;9938;;9938;;-;;-;;-;;-;;-;;-;;-;;365;;24477;;-;;142962;;-;;366;;26785;;26785;;442446;;-;;-;;960;;-;;284042;;-;;380;;22887;;-;;5638;;-;;379;;24413;;24413;;6516;;-;;-;;529;;-;;-;;-;;752;;62379;;-;;5807;;-;;750;;66201;;66201;;9144;;-;;-;;1207;;-;;-;;-;;
"Jun.15";10350;;1072703;;-;;8234441;;327343;;10340;;1088332;;1088332;;7373319;;575495;;-;;9863;;-;;2628950;;11653;;796;;50393;;-;;2110;;-;;797;;51615;;51615;;9351;;-;;-;;2804;;-;;-;;-;;193;;10139;;-;;-;;-;;195;;9734;;9734;;-;;-;;-;;33;;-;;-;;-;;444;;31712;;-;;159019;;-;;444;;32579;;32579;;478704;;-;;-;;1642;;-;;271339;;-;;455;;32187;;-;;3452;;-;;456;;30186;;30186;;7903;;-;;-;;734;;-;;-;;-;;830;;75047;;-;;5426;;-;;832;;70179;;70179;;11289;;-;;-;;1929;;-;;-;;-;;
"Jul.15";10617;;1148006;;-;;8086651;;360601;;10623;;1206850;;1206850;;8005201;;594977;;-;;8929;;-;;2440536;;14127;;803;;51393;;-;;6091;;-;;800;;54672;;54672;;9009;;-;;-;;1490;;-;;-;;-;;227;;12887;;-;;-;;-;;224;;12024;;12024;;-;;-;;-;;49;;-;;-;;-;;427;;30166;;-;;194663;;-;;427;;31829;;31829;;539665;;-;;-;;1281;;-;;322926;;-;;447;;31204;;-;;4109;;-;;445;;31362;;31362;;6967;;-;;-;;682;;-;;-;;-;;876;;77699;;-;;13658;;-;;876;;79281;;79281;;13388;;-;;-;;1120;;-;;-;;-;;
"Aug.15";10452;;1190318;;-;;8693188;;349175;;10452;;1187135;;1187135;;7428710;;592034;;-;;8803;;-;;2029804;;-;;758;;51187;;-;;2653;;-;;758;;51222;;51222;;5575;;-;;-;;1707;;-;;-;;-;;242;;11639;;-;;-;;-;;244;;13009;;13009;;-;;-;;-;;98;;-;;-;;-;;426;;34502;;-;;174109;;168;;426;;34760;;34760;;479305;;150;;-;;2052;;-;;279918;;-;;405;;31140;;-;;4254;;-;;407;;32565;;32565;;5699;;-;;-;;1165;;-;;-;;-;;833;;80248;;-;;7721;;-;;833;;83375;;83375;;14110;;-;;-;;1126;;-;;-;;-;;
