;"Werte";"Post in kg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Fracht in kg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Startland";"�sterreich";"�sterreich - Anmerkungen";"Belgien";"Belgien - Anmerkungen";"Bulgarien";"Bulgarien - Anmerkungen";"D�nemark";"D�nemark - Anmerkungen";"Deutschland";"Deutschland - Anmerkungen";"Estland";"Estland - Anmerkungen";"Finnland";"Finnland - Anmerkungen";"Frankreich";"Frankreich - Anmerkungen";"Griechenland";"Griechenland - Anmerkungen";"Irland";"Irland - Anmerkungen";"Italien";"Italien - Anmerkungen";"Kroatien";"Kroatien - Anmerkungen";"Lettland";"Lettland - Anmerkungen";"Litauen";"Litauen - Anmerkungen";"Luxemburg";"Luxemburg - Anmerkungen";"Malta";"Malta - Anmerkungen";"Niederlande";"Niederlande - Anmerkungen";"Polen";"Polen - Anmerkungen";"Portugal";"Portugal - Anmerkungen";"Rum�nien";"Rum�nien - Anmerkungen";"Schweden";"Schweden - Anmerkungen";"Slowakei";"Slowakei - Anmerkungen";"Slowenien";"Slowenien - Anmerkungen";"Spanien";"Spanien - Anmerkungen";"Tschechische Republik";"Tschechische Republik - Anmerkungen";"Ungarn";"Ungarn - Anmerkungen";"Zypern";"Zypern - Anmerkungen";"Albanien";"Albanien - Anmerkungen";"Bosnien/Herzegowina";"Bosnien/Herzegowina - Anmerkungen";"Gibraltar";"Gibraltar - Anmerkungen";"Island";"Island - Anmerkungen";"Mazedonien";"Mazedonien - Anmerkungen";"Moldawien";"Moldawien - Anmerkungen";"Montenegro";"Montenegro - Anmerkungen";"Norwegen";"Norwegen - Anmerkungen";"Russland";"Russland - Anmerkungen";"Schweiz";"Schweiz - Anmerkungen";"Serbien";"Serbien - Anmerkungen";"T�rkei";"T�rkei - Anmerkungen";"Ukraine";"Ukraine - Anmerkungen";"Vereinigtes K�nigreich";"Vereinigtes K�nigreich - Anmerkungen";"Wei�russland/Belarus";"Wei�russland/Belarus - Anmerkungen";"�gypten";"�gypten - Anmerkungen";"Algerien";"Algerien - Anmerkungen";"�thiopien";"�thiopien - Anmerkungen";"Elfenbeink�ste";"Elfenbeink�ste - Anmerkungen";"Ghana";"Ghana - Anmerkungen";"Guinea";"Guinea - Anmerkungen";"Guinea-Bissau";"Guinea-Bissau - Anmerkungen";"Kamerun";"Kamerun - Anmerkungen";"Kenia";"Kenia - Anmerkungen";"Kongo";"Kongo - Anmerkungen";"Kongo, Demokratische Republik";"Kongo, Demokratische Republik - Anmerkungen";"Liberia";"Liberia - Anmerkungen";"Libyen";"Libyen - Anmerkungen";"Madagaskar";"Madagaskar - Anmerkungen";"Mali";"Mali - Anmerkungen";"Marokko";"Marokko - Anmerkungen";"Niger";"Niger - Anmerkungen";"Nigeria";"Nigeria - Anmerkungen";"Republik S�dafrika";"Republik S�dafrika - Anmerkungen";"Senegal";"Senegal - Anmerkungen";"Sudan";"Sudan - Anmerkungen";"Tansania";"Tansania - Anmerkungen";"Tunesien";"Tunesien - Anmerkungen";"Uganda";"Uganda - Anmerkungen";"Simbabwe";"Simbabwe - Anmerkungen";"�briges Afrika";"�briges Afrika - Anmerkungen";"Afghanistan";"Afghanistan - Anmerkungen";"Armenien";"Armenien - Anmerkungen";"Aserbaidschan";"Aserbaidschan - Anmerkungen";"Bahrein";"Bahrein - Anmerkungen";"Bangladesh";"Bangladesh - Anmerkungen";"China";"China - Anmerkungen";"Georgien";"Georgien - Anmerkungen";"Hongkong";"Hongkong - Anmerkungen";"Indien";"Indien - Anmerkungen";"Indonesien";"Indonesien - Anmerkungen";"Irak";"Irak - Anmerkungen";"Iran";"Iran - Anmerkungen";"Israel";"Israel - Anmerkungen";"Japan";"Japan - Anmerkungen";"Jemen";"Jemen - Anmerkungen";"Jordanien";"Jordanien - Anmerkungen";"Kambodscha";"Kambodscha - Anmerkungen";"Kasachstan";"Kasachstan - Anmerkungen";"Katar";"Katar - Anmerkungen";"Kirgisistan";"Kirgisistan - Anmerkungen";"Korea";"Korea - Anmerkungen";"Kuwait";"Kuwait - Anmerkungen";"Laos";"Laos - Anmerkungen";"Libanon";"Libanon - Anmerkungen";"Macau";"Macau - Anmerkungen";"Malaysia";"Malaysia - Anmerkungen";"Mongolei";"Mongolei - Anmerkungen";"Myanmar";"Myanmar - Anmerkungen";"Nepal";"Nepal - Anmerkungen";"Oman";"Oman - Anmerkungen";"Pakistan";"Pakistan - Anmerkungen";"Philippinen";"Philippinen - Anmerkungen";"Saudi-Arabien";"Saudi-Arabien - Anmerkungen";"Singapore";"Singapore - Anmerkungen";"Sri Lanka";"Sri Lanka - Anmerkungen";"Syrien";"Syrien - Anmerkungen";"Tadschikistan";"Tadschikistan - Anmerkungen";"Taiwan";"Taiwan - Anmerkungen";"Thailand";"Thailand - Anmerkungen";"Turkmenistan";"Turkmenistan - Anmerkungen";"Usbekistan";"Usbekistan - Anmerkungen";"Vereinigte Arabische Emirate";"Vereinigte Arabische Emirate - Anmerkungen";"Vietnam";"Vietnam - Anmerkungen";"�briges Asien";"�briges Asien - Anmerkungen";"Australien";"Australien - Anmerkungen";"Neuseeland";"Neuseeland - Anmerkungen";"�briges Ozeanien";"�briges Ozeanien - Anmerkungen";"Argentinien";"Argentinien - Anmerkungen";"Bolivien";"Bolivien - Anmerkungen";"Brasilien";"Brasilien - Anmerkungen";"Chile";"Chile - Anmerkungen";"Ecuador";"Ecuador - Anmerkungen";"Gr�nland";"Gr�nland - Anmerkungen";"Guyana/Suriname";"Guyana/Suriname - Anmerkungen";"Kanada";"Kanada - Anmerkungen";"Kolumbien";"Kolumbien - Anmerkungen";"Mexiko";"Mexiko - Anmerkungen";"Mittelamerikanische Inseln";"Mittelamerikanische Inseln - Anmerkungen";"Mittelamerikanisches Festland";"Mittelamerikanisches Festland - Anmerkungen";"Panama";"Panama - Anmerkungen";"Paraguay";"Paraguay - Anmerkungen";"Peru";"Peru - Anmerkungen";"Uruguay";"Uruguay - Anmerkungen";"USA";"USA - Anmerkungen";"Venezuela";"Venezuela - Anmerkungen";"�briges Amerika";"�briges Amerika - Anmerkungen";"�sterreich";"�sterreich - Anmerkungen";"Belgien";"Belgien - Anmerkungen";"Bulgarien";"Bulgarien - Anmerkungen";"D�nemark";"D�nemark - Anmerkungen";"Deutschland";"Deutschland - Anmerkungen";"Estland";"Estland - Anmerkungen";"Finnland";"Finnland - Anmerkungen";"Frankreich";"Frankreich - Anmerkungen";"Griechenland";"Griechenland - Anmerkungen";"Irland";"Irland - Anmerkungen";"Italien";"Italien - Anmerkungen";"Kroatien";"Kroatien - Anmerkungen";"Lettland";"Lettland - Anmerkungen";"Litauen";"Litauen - Anmerkungen";"Luxemburg";"Luxemburg - Anmerkungen";"Malta";"Malta - Anmerkungen";"Niederlande";"Niederlande - Anmerkungen";"Polen";"Polen - Anmerkungen";"Portugal";"Portugal - Anmerkungen";"Rum�nien";"Rum�nien - Anmerkungen";"Schweden";"Schweden - Anmerkungen";"Slowakei";"Slowakei - Anmerkungen";"Slowenien";"Slowenien - Anmerkungen";"Spanien";"Spanien - Anmerkungen";"Tschechische Republik";"Tschechische Republik - Anmerkungen";"Ungarn";"Ungarn - Anmerkungen";"Zypern";"Zypern - Anmerkungen";"Albanien";"Albanien - Anmerkungen";"Bosnien/Herzegowina";"Bosnien/Herzegowina - Anmerkungen";"Gibraltar";"Gibraltar - Anmerkungen";"Island";"Island - Anmerkungen";"Mazedonien";"Mazedonien - Anmerkungen";"Moldawien";"Moldawien - Anmerkungen";"Montenegro";"Montenegro - Anmerkungen";"Norwegen";"Norwegen - Anmerkungen";"Russland";"Russland - Anmerkungen";"Schweiz";"Schweiz - Anmerkungen";"Serbien";"Serbien - Anmerkungen";"T�rkei";"T�rkei - Anmerkungen";"Ukraine";"Ukraine - Anmerkungen";"Vereinigtes K�nigreich";"Vereinigtes K�nigreich - Anmerkungen";"Wei�russland/Belarus";"Wei�russland/Belarus - Anmerkungen";"�gypten";"�gypten - Anmerkungen";"Algerien";"Algerien - Anmerkungen";"�thiopien";"�thiopien - Anmerkungen";"Elfenbeink�ste";"Elfenbeink�ste - Anmerkungen";"Ghana";"Ghana - Anmerkungen";"Guinea";"Guinea - Anmerkungen";"Guinea-Bissau";"Guinea-Bissau - Anmerkungen";"Kamerun";"Kamerun - Anmerkungen";"Kenia";"Kenia - Anmerkungen";"Kongo";"Kongo - Anmerkungen";"Kongo, Demokratische Republik";"Kongo, Demokratische Republik - Anmerkungen";"Liberia";"Liberia - Anmerkungen";"Libyen";"Libyen - Anmerkungen";"Madagaskar";"Madagaskar - Anmerkungen";"Mali";"Mali - Anmerkungen";"Marokko";"Marokko - Anmerkungen";"Niger";"Niger - Anmerkungen";"Nigeria";"Nigeria - Anmerkungen";"Republik S�dafrika";"Republik S�dafrika - Anmerkungen";"Senegal";"Senegal - Anmerkungen";"Sudan";"Sudan - Anmerkungen";"Tansania";"Tansania - Anmerkungen";"Tunesien";"Tunesien - Anmerkungen";"Uganda";"Uganda - Anmerkungen";"Simbabwe";"Simbabwe - Anmerkungen";"�briges Afrika";"�briges Afrika - Anmerkungen";"Afghanistan";"Afghanistan - Anmerkungen";"Armenien";"Armenien - Anmerkungen";"Aserbaidschan";"Aserbaidschan - Anmerkungen";"Bahrein";"Bahrein - Anmerkungen";"Bangladesh";"Bangladesh - Anmerkungen";"China";"China - Anmerkungen";"Georgien";"Georgien - Anmerkungen";"Hongkong";"Hongkong - Anmerkungen";"Indien";"Indien - Anmerkungen";"Indonesien";"Indonesien - Anmerkungen";"Irak";"Irak - Anmerkungen";"Iran";"Iran - Anmerkungen";"Israel";"Israel - Anmerkungen";"Japan";"Japan - Anmerkungen";"Jemen";"Jemen - Anmerkungen";"Jordanien";"Jordanien - Anmerkungen";"Kambodscha";"Kambodscha - Anmerkungen";"Kasachstan";"Kasachstan - Anmerkungen";"Katar";"Katar - Anmerkungen";"Kirgisistan";"Kirgisistan - Anmerkungen";"Korea";"Korea - Anmerkungen";"Kuwait";"Kuwait - Anmerkungen";"Laos";"Laos - Anmerkungen";"Libanon";"Libanon - Anmerkungen";"Macau";"Macau - Anmerkungen";"Malaysia";"Malaysia - Anmerkungen";"Mongolei";"Mongolei - Anmerkungen";"Myanmar";"Myanmar - Anmerkungen";"Nepal";"Nepal - Anmerkungen";"Oman";"Oman - Anmerkungen";"Pakistan";"Pakistan - Anmerkungen";"Philippinen";"Philippinen - Anmerkungen";"Saudi-Arabien";"Saudi-Arabien - Anmerkungen";"Singapore";"Singapore - Anmerkungen";"Sri Lanka";"Sri Lanka - Anmerkungen";"Syrien";"Syrien - Anmerkungen";"Tadschikistan";"Tadschikistan - Anmerkungen";"Taiwan";"Taiwan - Anmerkungen";"Thailand";"Thailand - Anmerkungen";"Turkmenistan";"Turkmenistan - Anmerkungen";"Usbekistan";"Usbekistan - Anmerkungen";"Vereinigte Arabische Emirate";"Vereinigte Arabische Emirate - Anmerkungen";"Vietnam";"Vietnam - Anmerkungen";"�briges Asien";"�briges Asien - Anmerkungen";"Australien";"Australien - Anmerkungen";"Neuseeland";"Neuseeland - Anmerkungen";"�briges Ozeanien";"�briges Ozeanien - Anmerkungen";"Argentinien";"Argentinien - Anmerkungen";"Bolivien";"Bolivien - Anmerkungen";"Brasilien";"Brasilien - Anmerkungen";"Chile";"Chile - Anmerkungen";"Ecuador";"Ecuador - Anmerkungen";"Gr�nland";"Gr�nland - Anmerkungen";"Guyana/Suriname";"Guyana/Suriname - Anmerkungen";"Kanada";"Kanada - Anmerkungen";"Kolumbien";"Kolumbien - Anmerkungen";"Mexiko";"Mexiko - Anmerkungen";"Mittelamerikanische Inseln";"Mittelamerikanische Inseln - Anmerkungen";"Mittelamerikanisches Festland";"Mittelamerikanisches Festland - Anmerkungen";"Panama";"Panama - Anmerkungen";"Paraguay";"Paraguay - Anmerkungen";"Peru";"Peru - Anmerkungen";"Uruguay";"Uruguay - Anmerkungen";"USA";"USA - Anmerkungen";"Venezuela";"Venezuela - Anmerkungen";"�briges Amerika";"�briges Amerika - Anmerkungen";
"Zeit";"Verkehrsbeziehung";
"Okt.20";"ankommend";-;;58;;474;;7964;;35690;;184;;-;;14192;;4109;;-;;661;;8;;6284;;-;;-;;415;;6216;;16525;;529;;18575;;3355;;412;;-;;5369;;-;;-;;12080;;2740;;6084;;-;;-;;6015;;1;;5;;-;;171;;1540;;6365;;14062;;1899;;26;;1796;;514;;-;;410;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;2875;;-;;-;;5823;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;15416;;-;;24235;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;2461;;9894;;-;;-;;9556;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;18471;;-;;-;;283;;223347;;4117;;786;;1114129;;-;;4900;;200617;;18347;;-;;826;;2256;;287;;-;;192;;2984;;11763;;12271;;849;;11304;;46;;-;;10562;;547;;288;;45910;;1263;;7505;;1403;;-;;-;;888;;1608;;804;;-;;1664020;;16510;;1991;;281504;;34178;;2475;;94012;;29085;;11009;;2108;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1230;;592969;;-;;-;;103700;;-;;-;;1359844;;-;;-;;12707;;307;;-;;-;;-;;-;;-;;247607;;-;;2003196;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;361712;;136376;;-;;-;;425424;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;183832;;-;;-;;
"1. Quartal 2020";"ankommend";105;;36299;;42486;;32166;;359147;;8;;16646;;33863;;19425;;-;;23409;;50014;;25904;;5901;;-;;1411;;8809;;56238;;13652;;18675;;7296;;-;;-;;15472;;40;;7016;;8740;;6069;;6124;;-;;-;;10761;;6917;;165;;635;;37084;;55440;;28101;;137277;;39910;;21919;;7812;;595;;13845;;215;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1379;;-;;-;;-;;-;;2537;;32059;;-;;-;;184422;;-;;-;;116;;-;;-;;3555;;4612;;14720;;-;;2521;;-;;-;;48944;;-;;74349;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;166;;-;;-;;-;;-;;56538;;51705;;-;;-;;74192;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;27271;;-;;-;;-;;-;;-;;-;;-;;-;;99014;;-;;-;;1986;;534378;;26471;;61903;;2930008;;-;;18861;;499324;;66287;;2285;;14929;;9461;;356;;1898;;-;;2080;;11983;;45243;;9934;;45571;;174;;-;;11411;;20569;;858;;22580;;34389;;38144;;6069;;-;;-;;6103;;11202;;1627;;1441;;2530477;;113174;;128539;;865287;;19192;;36189;;115547;;39343;;60622;;21298;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;728;;-;;-;;37052;;-;;-;;-;;8887;;-;;-;;89060;;-;;18958;;1295529;;-;;-;;645775;;-;;-;;2675944;;-;;-;;26595;;221895;;919679;;-;;12490;;-;;-;;1151602;;-;;5054331;;-;;-;;-;;-;;58387;;-;;-;;-;;-;;-;;-;;580;;-;;7716;;-;;-;;843571;;1750556;;792894;;-;;1216412;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;479362;;-;;-;;6258;;-;;-;;-;;-;;-;;760752;;-;;-;;
"2. Quartal 2020";"ankommend";10;;-;;-;;1817;;53129;;918;;-;;4714;;276;;-;;-;;72;;3433;;-;;-;;-;;16321;;-;;-;;1734;;-;;-;;-;;-;;-;;-;;1659;;-;;732;;-;;-;;-;;-;;-;;-;;364;;39;;1938;;23502;;-;;-;;4785;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;5244;;-;;-;;12183;;-;;-;;3198;;-;;-;;-;;116;;-;;-;;-;;-;;-;;14534;;-;;57330;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;4490;;215;;-;;-;;21646;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;637868;;2269;;15;;2776908;;202;;-;;321004;;428;;-;;3833;;1312;;54;;5093;;69439;;-;;55;;2827;;-;;2773;;-;;-;;-;;-;;-;;79636;;4246;;6134;;1099;;-;;-;;-;;-;;460;;-;;2160261;;12861;;4145;;570655;;31739;;13630;;196901;;12;;3920;;2751;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;65;;-;;-;;-;;-;;-;;1894804;;-;;-;;1615704;;170191;;-;;2069993;;-;;-;;3133;;158518;;-;;-;;-;;-;;505782;;407044;;-;;5846799;;-;;-;;-;;-;;211948;;-;;-;;-;;-;;-;;-;;1892;;-;;-;;-;;-;;481418;;55097;;33787;;-;;1078298;;862959;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;
"3. Quartal 2020";"ankommend";-;;397;;14;;23705;;131413;;1016;;91;;28582;;8983;;-;;-;;5732;;13265;;-;;-;;758;;3700;;39565;;1395;;17374;;4933;;-;;-;;834;;27;;-;;31166;;233;;3897;;-;;-;;6353;;-;;17;;-;;1127;;1589;;15258;;32595;;2356;;6536;;1747;;649;;-;;520;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1005;;-;;-;;-;;-;;-;;481;;-;;-;;35390;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;25243;;-;;61025;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;11875;;29793;;-;;-;;33972;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;22435;;-;;-;;1563;;657666;;11690;;1479;;3108530;;15;;3740;;585322;;27303;;-;;539;;10575;;309;;-;;2367;;5214;;4599;;39714;;2271;;27947;;188;;-;;33665;;3537;;1224;;88626;;11642;;21837;;5520;;-;;-;;2702;;2127;;2590;;-;;2793870;;74244;;4858;;516283;;62008;;5271;;237441;;11790;;6078;;14431;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;4021;;-;;-;;-;;-;;-;;2364507;;-;;-;;200621;;-;;-;;3494985;;-;;-;;18539;;88;;-;;-;;-;;-;;-;;602771;;-;;5307037;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;771645;;431347;;84391;;-;;1007174;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;527649;;-;;-;;
"Oktober 2020";"ankommend";-;;58;;474;;7964;;35690;;184;;-;;14192;;4109;;-;;661;;8;;6284;;-;;-;;415;;6216;;16525;;529;;18575;;3355;;412;;-;;5369;;-;;-;;12080;;2740;;6084;;-;;-;;6015;;1;;5;;-;;171;;1540;;6365;;14062;;1899;;26;;1796;;514;;-;;410;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;2875;;-;;-;;5823;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;15416;;-;;24235;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;2461;;9894;;-;;-;;9556;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;18471;;-;;-;;283;;223347;;4117;;786;;1114129;;-;;4900;;200617;;18347;;-;;826;;2256;;287;;-;;192;;2984;;11763;;12271;;849;;11304;;46;;-;;10562;;547;;288;;45910;;1263;;7505;;1403;;-;;-;;888;;1608;;804;;-;;1664020;;16510;;1991;;281504;;34178;;2475;;94012;;29085;;11009;;2108;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1230;;592969;;-;;-;;103700;;-;;-;;1359844;;-;;-;;12707;;307;;-;;-;;-;;-;;-;;247607;;-;;2003196;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;361712;;136376;;-;;-;;425424;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;183832;;-;;-;;
"1. Quartal 2019";"ankommend";674;;38501;;29397;;27177;;427316;;495;;19511;;50550;;22727;;6072;;42812;;49677;;27854;;1006;;1078;;1107;;20265;;58331;;10241;;19957;;7921;;-;;4082;;22266;;2715;;5114;;2833;;9226;;5873;;-;;-;;10972;;895;;173;;621;;42372;;74143;;13576;;187066;;51001;;35552;;22069;;1176;;9049;;269;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;891;;-;;-;;-;;-;;3434;;450;;-;;-;;343095;;-;;-;;217;;-;;45;;1174;;8068;;3704;;-;;3269;;-;;-;;15630;;-;;78320;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;847;;-;;-;;-;;-;;42970;;55436;;-;;6248;;86397;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;4509;;-;;-;;-;;-;;-;;-;;-;;-;;86105;;-;;-;;13050;;676882;;51080;;8587;;3231283;;-;;37227;;611912;;130827;;9323;;83207;;14262;;2237;;2682;;-;;1557;;22210;;60795;;18809;;117556;;259;;-;;67;;91746;;2569;;11460;;79602;;20936;;6138;;-;;-;;10780;;7131;;2194;;1321;;1915682;;148663;;181960;;849393;;35761;;65554;;193014;;39871;;15520;;3422;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1138;;-;;-;;-;;5899;;-;;-;;27107;;-;;21323;;567986;;-;;-;;1384479;;-;;-;;2181151;;-;;-;;39278;;329378;;293569;;-;;16069;;-;;-;;1185105;;-;;4249510;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;964;;-;;-;;-;;-;;1058230;;2253057;;1010519;;103810;;1519287;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;345677;;-;;-;;-;;-;;-;;-;;-;;-;;1226378;;-;;-;;
"2. Quartal 2019";"ankommend";47;;41823;;43821;;13668;;370434;;786;;23435;;36153;;11286;;5699;;38482;;43250;;27756;;1571;;-;;1520;;9686;;42904;;16564;;16486;;6015;;-;;2778;;13236;;811;;3516;;1718;;6155;;5507;;-;;-;;8871;;4041;;210;;4989;;17878;;59385;;8344;;289663;;23911;;31988;;25980;;882;;176;;279;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;906;;-;;-;;-;;-;;2660;;-;;-;;-;;355119;;-;;-;;181;;-;;-;;345;;11827;;16875;;-;;2674;;-;;-;;9911;;-;;45216;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;230;;-;;-;;19405;;27113;;-;;-;;55850;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;99083;;-;;-;;2643;;672485;;71374;;7003;;3021556;;-;;45095;;654017;;112938;;1906;;69140;;15957;;1846;;2337;;-;;621;;18232;;51699;;17402;;105098;;758;;-;;9272;;51973;;2093;;8427;;102502;;25477;;7762;;-;;-;;12927;;9077;;3544;;711;;2226200;;162338;;306019;;817033;;26925;;58820;;151965;;60397;;20008;;5189;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1387;;-;;-;;-;;10761;;-;;-;;6527;;-;;66743;;818134;;-;;-;;1795882;;-;;-;;3099923;;-;;-;;27353;;305079;;1146240;;-;;35354;;-;;-;;1405894;;-;;3620452;;3359;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;374;;-;;11106;;-;;-;;948457;;2036842;;1099779;;-;;1189736;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;272181;;-;;-;;-;;-;;-;;-;;-;;-;;1416215;;-;;-;;
"3. Quartal 2019";"ankommend";123;;39356;;33760;;12946;;352554;;1072;;22826;;32856;;10279;;5196;;34866;;52442;;24139;;1379;;-;;1869;;9183;;54054;;20536;;15826;;6787;;-;;3442;;11404;;645;;3841;;2312;;8724;;5242;;-;;-;;10801;;2520;;290;;5318;;36620;;68021;;12313;;246452;;23951;;21593;;2828;;1037;;-;;208;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;699;;-;;-;;-;;-;;2709;;-;;-;;-;;450428;;-;;-;;179;;-;;20;;260;;18434;;53844;;-;;3876;;-;;-;;17301;;-;;58143;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;32964;;38411;;-;;-;;75846;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;21;;-;;-;;-;;-;;-;;-;;-;;-;;104172;;-;;-;;18283;;706808;;52324;;7613;;2826209;;-;;59689;;569146;;116037;;4331;;30921;;22401;;1582;;2335;;-;;319;;20306;;72943;;18064;;94359;;555;;-;;12471;;51537;;2191;;6954;;117665;;35780;;11198;;-;;-;;17551;;9737;;7409;;1420;;2833596;;138731;;454660;;804115;;28417;;57852;;95247;;21968;;48901;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;9067;;-;;-;;-;;-;;44098;;555873;;-;;-;;2235868;;268;;-;;2694034;;-;;-;;23130;;286078;;1524622;;-;;13287;;-;;-;;1602789;;-;;2710591;;989;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;1604;;-;;-;;-;;-;;976704;;1767958;;904097;;-;;1225736;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;-;;321120;;-;;-;;-;;-;;-;;-;;-;;-;;1348039;;-;;-;;
