STATcube

"Transport volume and transport performance of road freight transport from 2006 (Q S)"
"Time by Values, Mode of traffic and Kind of goods (NST/R Chapter)"
"Counting: Number of transport units, Tonnes"

"Values","Number of transport units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mode of traffic","National transport",,,,,,,,,,,,,,,,,,,,"Receipt",,,,,,,,,,,,,,,,,,,,"Dispatch",,,,,,,,,,,,,,,,,,,,"Transit",,,,,,,,,,,,,,,,,,,,"Other transportation abroad",,,,,,,,,,,,,,,,,,,,"National transport",,,,,,,,,,,,,,,,,,,,"Receipt",,,,,,,,,,,,,,,,,,,,"Dispatch",,,,,,,,,,,,,,,,,,,,"Transit",,,,,,,,,,,,,,,,,,,,"Other transportation abroad",,,,,,,,,,,,,,,,,,,,
"Kind of goods (NST/R Chapter)","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations","Agricultural products and live animals","Agricultural products and live animals - Annotations","Foodstuffs and animal fodder","Foodstuffs and animal fodder - Annotations","Solid mineral fuels","Solid mineral fuels - Annotations","Petroleum products","Petroleum products - Annotations","Ores and metal waste","Ores and metal waste - Annotations","Metal products","Metal products - Annotations","Minerals and building materials","Minerals and building materials - Annotations","Fertilizers","Fertilizers - Annotations","Chemicals","Chemicals - Annotations","Machinery and other manufact. articles","Machinery and other manufact. articles - Annotations",
"Time",
"2. quarter 2020",522414.7189455,,554269.5998763,,9152.6714795,,136995.5294334,,35239.0593882,,141688.726204,,2986339.5422284,,664.5257941,,58560.8912403,,2289558.8268081,,19232.4204552,,6287.4108877,,228.6889827,,15181.4811989,,-,,4830.1126249,,27076.6812662,,-,,2324.5899894,,57837.851336,,13817.616999,,20068.9970807,,-,,2986.4769208,,857.9612461,,9594.8053635,,25447.5409108,,103.5037975,,4197.2390935,,66638.5784433,,1261.2690903,,792.8077388,,-,,192.8490566,,-,,680.9458263,,3401.3136724,,-,,199.9283258,,10574.4989602,,2860.2900783,,4516.5199777,,-,,861.3141335,,-,,3817.205005,,21826.985482,,-,,2525.8460846,,41500.0204677,,7322705.4403268,,5172612.3924011,,140408.0778458,,1800970.4946702,,323224.2473158,,1395740.8267352,,46319798.5668458,,5120.3035586,,455196.7858184,,19735837.534732,,381810.4730327,,115864.4902402,,5627.8320825,,371592.6169235,,-,,74915.5779263,,554695.9202783,,-,,39771.9999417,,676491.8764115,,277583.0521858,,282146.7484067,,-,,68366.9998234,,16252.7669868,,178366.6169237,,520573.9417718,,2548.2634937,,65303.5100424,,782842.9730722,,15589.511269,,17568.8908346,,-,,4342.9607547,,-,,7255.9360071,,77380.3111084,,-,,3832.740738,,177138.2207482,,58083.6545501,,64649.5924517,,-,,20771.7929726,,-,,60749.1402765,,436303.8879396,,-,,64698.9066757,,549295.9896022,,
"1. quarter 2020",638219.8255827,,624786.0999411,,3196.3072439,"S",162739.1041701,,42658.5194079,"S",140709.9824989,,1757668.9468788,,1137.0130876,"S",72019.4790386,,2292754.2265777,,23602.146998,"S",8760.6964418,"S",111.6226415,"S",18818.126849,"S",1601.4972945,"S",7714.9268656,"S",17822.9336242,"S",-,,2008.0566876,"S",66678.2435643,,20378.8285278,"S",21858.4204506,"S",-,,1507.22034,"S",1073.7497526,"S",10433.6012313,"S",20044.0487164,"S",-,,3049.8809481,"S",82904.3442153,,1061.9591916,"S",869.6956889,"S",-,,233.7020316,"S",111.6226415,"S",561.9636407,"S",2504.9394364,"S",-,,122.746988,"S",10547.9941921,"S",6577.3242671,"S",7300.1212448,"S",116.8510158,"S",669.7358491,"S",-,,4122.232669,"S",21481.8147064,"S",-,,1207.4120932,"S",36380.2848138,"S",10137439.4307376,,5641396.8594689,,41094.6455604,"S",2071476.7899587,,411760.1394744,"S",1473147.0902772,,28648591.4956207,,21853.8590976,"S",927188.0104268,"S",18671970.2211873,,531145.4738849,"S",148724.3593392,"S",2522.6716981,"S",468559.846055,"S",33510.6105993,"S",141934.701151,"S",388109.7608719,"S",-,,32193.8972893,"S",829486.8392637,"S",365010.8245203,"S",327594.4858197,"S",-,,30490.9691809,"S",24461.1999839,"S",141253.838213,"S",392129.7361579,"S",-,,49470.0048772,"S",1029687.0642295,"S",17241.8527217,"S",21343.387893,"S",-,,4714.3542325,"S",2780.52,"S",7698.8436478,"S",62822.6202182,"S",-,,244.512,"S",153538.5354558,"S",112088.7841489,"S",131014.2960787,"S",3183.0216704,"S",15417.3192453,"S",-,,64909.7682512,"S",376353.100672,"S",-,,19481.6295058,"S",475749.7501235,"S",
"1. quarter 2019",696810.8476897,,796473.6756178,,845.7958333,"S",159024.6287439,,82860.0994999,,161663.0817494,,2077476.006582,,17746.6086757,"S",84462.6952991,,2326795.856114,,24849.9989308,"S",10965.1011243,"S",113.6098655,"S",17225.0027227,"S",1344.127189,"S",12681.2097679,"S",8674.5612988,"S",98.4375,"S",3618.7237477,"S",73740.2732081,,32979.9196797,"S",20284.4305725,"S",-,,4079.64923,"S",1187.6043463,"S",15764.3895211,"S",9090.4868253,"S",685.6341791,"S",6093.4459422,"S",81627.0371203,,1691.6866665,"S",3128.7217207,"S",-,,136.0268456,"S",-,,1231.8832245,"S",1822.0662034,"S",-,,1073.4336725,"S",11567.679218,"S",6668.2068523,"S",6598.675085,"S",-,,1245.701988,"S",121.1878453,"S",3372.9268722,"S",4219.6260539,"S",-,,2596.8697383,"S",39320.3421288,"S",9729859.8181024,,6989956.2046553,,2908.4225,"S",1960967.8228523,,683606.1543891,"S",1623108.2211576,,33629598.4072024,,362515.3795287,"S",844257.71462,"S",18176313.7349626,,459920.872591,"S",201136.5119076,"S",1704.1479821,"S",429587.6965812,"S",24585.6656801,"S",150402.4635803,"S",211287.1028081,"S",2659.78125,"S",70391.6671499,"S",731744.5014237,"S",529367.4305339,"S",301327.6911101,"S",-,,64800.9678724,"S",27287.4826503,"S",199541.4207242,"S",185628.5444323,"S",20919.442957,"S",132806.7753338,"S",817123.4082209,"S",19697.3359169,"S",67960.5543257,"S",-,,3310.8934228,"S",-,,16839.2306526,"S",43145.9592084,"S",-,,18667.4334235,"S",160107.1245556,"S",116685.4921874,"S",136993.854633,"S",-,,32333.3371519,"S",2304.9928177,"S",60553.179924,"S",86041.5238499,"S",-,,60130.1453189,"S",493743.1846145,"S",
"2. quarter 2019",745983.4271115,,702725.2399414,,1619.0197141,"S",202538.3710432,,74263.1260032,,199604.4954175,,3678241.733022,,20713.4921247,"S",97322.6466139,,2447872.8374182,,23329.559629,"S",7643.363963,"S",-,,17013.6913316,"S",763.3578659,"S",9812.0806126,"S",19034.4198323,"S",546.0134898,"S",5186.130123,"S",63483.1850975,,33737.2068369,"S",18959.1641463,"S",-,,2574.9774168,"S",1386.5425779,"S",17936.2536784,"S",18539.5052101,"S",733.6541542,"S",4732.1942105,"S",77876.6415136,,452.1761064,"S",1029.2952964,"S",119.6776119,"S",-,,224.1724573,"S",2319.0308064,"S",3980.6495264,"S",-,,435.7826087,"S",10576.1381431,"S",6010.5232326,"S",5220.7178553,"S",-,,1346.63055,"S",359.0328358,"S",4824.4255645,"S",4918.3746218,"S",119.6776119,"S",1779.698435,"S",29437.6453539,"S",9836339.006565,,6463765.7094046,,19766.3512408,"S",2311358.03258,,714205.8242354,"S",1771049.838332,,57610681.593505,,427602.8827685,"S",1216435.3574999,,19132257.2776236,,473363.1004088,"S",121938.2365859,"S",-,,420549.3264278,"S",16932.1442018,"S",159151.6809672,"S",426557.9887335,"S",12181.3543443,"S",96602.8767137,"S",697556.5914239,"S",616439.9129045,"S",284412.7719762,"S",-,,51901.5428953,"S",26253.9391415,"S",280766.9228791,"S",396625.3164888,"S",14201.3127917,"S",100127.6480996,"S",786718.9014416,"S",8483.6262122,"S",26024.7107159,"S",2872.2626866,"S",-,,5383.7293036,"S",40689.8125716,"S",100793.758465,"S",-,,10023,"S",136097.486378,"S",80602.5175442,"S",72528.0213839,"S",-,,39915.5506721,"S",3788.993194,"S",71660.7884231,"S",87137.3558752,"S",2932.1014925,"S",38578.7445426,"S",365102.4547014,"S",
"3. quarter 2019",719121.3940069,,713225.46493,,2367.5360073,"S",189117.572878,,72707.0140427,,182536.1670647,,3977177.0328349,,9985.2741774,"S",117719.7822915,,2462076.9586972,,22679.6313894,"S",11335.1289,"S",-,,13155.8288774,"S",1363.4011173,"S",9258.7411852,"S",32890.9941989,"S",214,"S",3256.2624479,"S",61580.9181851,,23260.9391557,"S",20718.0271039,"S",-,,1635.4561012,"S",874.5195305,"S",14249.1822449,"S",21893.9968234,"S",576.2142857,"S",5421.2040785,"S",74949.2571418,,504.4012924,"S",2268.6740827,"S",-,,629.0685472,"S",120.7380952,"S",578.7818522,"S",2017.0041316,"S",-,,120.7380952,"S",8974.8738919,"S",6291.3430553,"S",5751.5193624,"S",-,,2145.600546,"S",-,,4595.3468842,"S",5368.7079874,"S",214,"S",1383.6403094,"S",38703.9070275,"S",9422979.7994145,,6451531.9739176,,19575.442342,"S",2276244.0662382,,605624.1147929,"S",1757720.3124376,,64929260.3121451,,204007.2651214,"S",1212858.5789286,,18522405.6917419,,428800.2234144,"S",200862.5488888,"S",-,,309072.9767532,"S",20944.5322424,"S",168600.9635575,"S",775076.452341,"S",5542.6,"S",63365.5891544,"S",708526.2495198,"S",388305.6765004,"S",335197.9927199,"S",-,,38798.3761079,"S",20100.427167,"S",243893.8183732,"S",454139.154884,"S",14390.3039524,"S",101474.7334538,"S",893667.3371594,"S",10355.2750462,"S",40694.1610638,"S",-,,13873.1955042,"S",2654.7892381,"S",10988.2529931,"S",52435.5446986,"S",-,,2837.3452381,"S",118326.7608759,"S",99323.784011,"S",109146.4929114,"S",-,,50435.0862784,"S",-,,62014.2359685,"S",73243.3990198,"S",5377.82,"S",25236.2962722,"S",443926.5324311,"S",
"4. quarter 2019",728368.4346918,,748097.0987778,,3797.1176172,"S",206246.4671665,,65310.2408698,,181156.3088296,,3554852.7447985,,3137.0418772,"S",89787.9358298,,2288630.7136942,,28756.4521821,"S",6845.4240121,"S",-,,17296.9270537,"S",1454.4465893,"S",9978.0808961,"S",22770.0807008,"S",-,,3764.8627502,"S",60157.1034563,,26834.0443232,"S",21063.5080244,"S",-,,2975.6883117,"S",2207.5583262,"S",12675.942378,"S",16493.5741142,"S",908.3202526,"S",4238.3354205,"S",83787.0980605,,1108.4266249,"S",2219.1120139,"S",-,,127.5,"S",127.5,"S",1160.1151053,"S",3536.3182305,"S",-,,514.3928887,"S",8025.3762508,"S",16451.1282362,"S",4635.7405265,"S",-,,1671.6428571,"S",510,"S",4250.3926414,"S",14592.2841312,"S",-,,359.7638606,"S",38374.4948529,"S",10053917.2695688,,6753371.8394973,,35392.1073085,"S",2567379.9903101,,696701.4806206,"S",1673449.9547078,,57498482.943192,,69752.396445,"S",951505.2720028,"S",18140905.9511906,,588123.2395468,"S",108066.1696269,"S",-,,396723.5552118,"S",25765.0135241,"S",156932.888302,"S",522808.0548195,"S",-,,77984.3092921,"S",677977.4594051,"S",502004.1490711,"S",313749.4693663,"S",-,,59815.1022175,"S",44626.2209782,"S",219972.9948606,"S",389585.9558332,"S",23918.0704072,"S",75570.8497918,"S",923064.4687216,"S",12694.5870427,"S",49878.6113334,"S",-,,3162,"S",956.25,"S",27558.1306279,"S",65455.9096431,"S",-,,9205.5196066,"S",122712.3658923,"S",302102.2469938,"S",85112.6951651,"S",-,,31388.9075357,"S",3825,"S",52135.1750764,"S",197722.7675556,"S",-,,7931.1318117,"S",512972.8551868,"S",
"1. quarter 2018",713095.9057107,,790233.1319193,,3738.4463165,"S",193810.6627617,,69208.0696205,,169772.0810128,,2101908.8113619,,13526.0957181,"S",86698.4093682,,2099342.6303426,,25464.0240453,"S",14629.3694507,"S",-,,20697.6852166,"S",1612.9662498,"S",9338.1697157,"S",10591.1758847,"S",241.0151663,"S",4088.4779702,"S",80260.9920577,,32281.8979041,"S",31144.4854195,"S",115.7727273,"S",2499.163678,"S",2673.8414904,"S",13649.1041967,"S",21797.1859837,"S",138.8120301,"S",6997.6518165,"S",91548.0226162,,968.2347619,"S",1799.8797473,"S",-,,432.8967033,"S",299.0198187,"S",1685.6202792,"S",950.4808012,"S",123.0357143,"S",333.1129169,"S",7462.2717213,"S",8192.1360947,"S",8178.5810981,"S",235.9589041,"S",1994.5340498,"S",-,,4205.0896046,"S",5039.1735009,"S",100.9956236,"S",673.3443555,"S",27606.2146575,"S",9749976.9784807,,6792601.3892895,,39590.3750738,"S",2275390.7855583,,553779.4386293,"S",1535778.8130627,,35713123.9413815,,245824.6066464,"S",853487.9691425,"S",15626410.525655,,492534.3427491,"S",214458.1373206,"S",-,,489170.1422957,"S",32306.4035111,"S",156790.6616264,"S",238450.5257744,"S",6070.7506849,"S",78313.9617616,"S",730393.1998657,"S",543550.8515325,"S",404381.7123196,"S",1041.9545455,"S",26713.4228676,"S",50559.0975956,"S",234692.134658,"S",491274.0877204,"S",3284.2926316,"S",135446.8818802,"S",859403.3695001,"S",18297.4310688,"S",27362.6754026,"S",-,,10770.0221538,"S",7443.702437,"S",21356.6509328,"S",22909.5118428,"S",2987.3071429,"S",7373.813318,"S",86778.7681072,"S",167296.1493274,"S",131776.4096793,"S",5516.7191781,"S",42221.2491034,"S",-,,59183.1381293,"S",109877.7603548,"S",2595.5875274,"S",10027.6178945,"S",310356.0837294,"S",
"2. quarter 2018",782680.4147727,,732183.5996509,,1080.1175451,"S",151070.8216774,,82553.8059065,,196536.8736471,,3748757.7910064,,10282.0957878,"S",135868.0901618,,2462564.2751975,,21659.5157998,"S",6130.0734058,"S",106.3333333,"S",19847.3113705,"S",2758.6983812,"S",8160.8606476,"S",21387.1088633,"S",1491.1984023,"S",7680.6735541,"S",73322.8581585,,31743.8383298,"S",26896.5835938,"S",99.1808511,"S",1967.5426899,"S",1698.0310249,"S",13558.8278923,"S",22475.8691978,"S",110.9880952,"S",3545.5826491,"S",92028.7334007,,1393.4669583,"S",2517.723876,"S",-,,304.6950355,"S",-,,412.8792091,"S",3128.4768505,"S",-,,99.1808511,"S",8599.3137667,"S",12377.0989217,"S",6903.8272605,"S",142.9090909,"S",2184.5281076,"S",-,,2834.8667696,"S",5162.8235283,"S",100.4724409,"S",1957.4631133,"S",27165.08982,"S",9491041.4221835,,6585483.4822576,,4897.8685279,"S",1839844.290079,,798084.1374097,"S",1897862.7221986,,59535823.7232602,,189200.2382905,"S",1475225.8572998,,20081753.8984344,,434746.127706,"S",84236.7161474,"S",2605.1666667,"S",421240.4261473,"S",34999.0494157,"S",156734.694444,"S",482886.3442501,"S",32299.5547255,"S",148191.0028444,"S",765613.2197443,"S",533340.3870979,"S",347503.5015253,"S",2363.5788617,"S",31073.0525858,"S",35903.1347373,"S",256383.0568551,"S",437107.0923795,"S",2885.6904762,"S",77469.5206391,"S",962940.102072,"S",23588.7977125,"S",58709.8246996,"S",-,,7276.9947518,"S",-,,10066.3620329,"S",75872.7507687,"S",-,,2515.226383,"S",111477.6540121,"S",258144.0548814,"S",103670.9452924,"S",3229.7454545,"S",58826.8549157,"S",-,,51099.4561787,"S",128522.5099031,"S",1086.6094488,"S",38746.6723703,"S",350690.444072,"S",
"3. quarter 2018",673585.1992056,,698561.1393803,,3366.9053804,"S",142399.9926311,,83577.629476,,219144.4583141,,3733372.4714663,,5262.8727794,"S",115404.3922313,,2414453.4549244,,21951.1442526,"S",7461.7758785,"S",99.1320755,"S",15449.2435929,"S",2054.9010562,"S",11445.2073452,"S",33292.8998751,"S",344.8429487,"S",3532.5922263,"S",71826.0534858,,27322.0770407,"S",18525.7845404,"S",-,,680.0420954,"S",2136.6745143,"S",16768.9368334,"S",24864.7464602,"S",297.3962264,"S",4397.3281624,"S",81529.6206645,,1062.386229,"S",1278.5220321,"S",-,,198.2120582,"S",-,,513.074016,"S",3278.7304269,"S",506.9118774,"S",792.9524183,"S",3901.5583426,"S",6403.0000302,"S",2282.0996612,"S",-,,1425.7890875,"S",247.1941463,"S",5416.0968604,"S",3577.9259484,"S",460.9426752,"S",1067.7366152,"S",34624.9232808,"S",9160764.4298853,,6530042.0154639,,39430.5818056,"S",1927830.9848789,,719600.0092517,"S",2255557.7738485,,58830928.1912536,,109364.7456512,"S",1270288.1844469,,18851790.7893366,,429095.8063978,"S",134943.0955497,"S",2338.5256604,"S",393727.6579877,"S",42315.2302685,"S",191652.9996701,"S",787682.9102367,"S",6407.1039744,"S",67977.456988,"S",788712.4021987,"S",408693.5763247,"S",283385.726132,"S",-,,15473.5020453,"S",33773.0283123,"S",227682.5876458,"S",553042.1629653,"S",7510.2460377,"S",83116.0087036,"S",959622.2343507,"S",25804.3040381,"S",23661.2759628,"S",-,,3444.9255717,"S",-,,9831.0850971,"S",75025.1448265,"S",12893.3036015,"S",19301.4503173,"S",57085.3286933,"S",115441.1526305,"S",48831.6656296,"S",-,,34773.0630886,"S",2978.7653186,"S",90607.0516083,"S",80481.7672256,"S",6914.1401274,"S",25912.264295,"S",433686.3345349,"S",
