STATcube

"Kommerzielle Zivilluftfahrt (Q)"
"Jahr und Werte nach Berichtshafen und Verkehrsbeziehung"
"Zählt: Flüge, Passagiere nach Streckenzielen, Fracht in kg, Post in kg"

;"Berichtshafen";"Wien";;;;;;"Graz";;;;;;"Innsbruck";;;;;;"Klagenfurt";;;;;;"Linz";;;;;;"Salzburg";;;;;;
;"Verkehrsbeziehung";"ankommend";"ankommend - Anmerkungen";"abgehend";"abgehend - Anmerkungen";"Transit ankommend";"Transit ankommend - Anmerkungen";"ankommend";"ankommend - Anmerkungen";"abgehend";"abgehend - Anmerkungen";"Transit ankommend";"Transit ankommend - Anmerkungen";"ankommend";"ankommend - Anmerkungen";"abgehend";"abgehend - Anmerkungen";"Transit ankommend";"Transit ankommend - Anmerkungen";"ankommend";"ankommend - Anmerkungen";"abgehend";"abgehend - Anmerkungen";"Transit ankommend";"Transit ankommend - Anmerkungen";"ankommend";"ankommend - Anmerkungen";"abgehend";"abgehend - Anmerkungen";"Transit ankommend";"Transit ankommend - Anmerkungen";"ankommend";"ankommend - Anmerkungen";"abgehend";"abgehend - Anmerkungen";"Transit ankommend";"Transit ankommend - Anmerkungen";
"Jahr";"Werte";
"2015";"Flüge";113404;;113407;;-;;7676;;7676;;-;;5927;;5929;;-;;2233;;2232;;-;;4180;;4181;;-;;9778;;9778;;-;;
;"Passagiere nach Streckenzielen";11322679;;11349169;;103030;;474741;;477171;;11275;;498577;;497695;;4983;;113914;;114711;;297;;258476;;262153;;9217;;907293;;908730;;12286;;
;"Fracht in kg";107433017;;88841386;;26793056;;143291;;240483;;-;;55379;;83153;;-;;-;;-;;-;;2070236;;4981263;;3058504;;93274;;120126;;-;;
;"Post in kg";4786127;;8065896;;104185;;-;;-;;-;;-;;-;;-;;-;;-;;-;;230;;301;;-;;-;;-;;-;;
"2016";"Flüge";113200;;113195;;-;;7165;;7167;;-;;5907;;5906;;-;;1977;;1975;;-;;3695;;3695;;-;;8855;;8856;;-;;
;"Passagiere nach Streckenzielen";11617972;;11631806;;100674;;489374;;488986;;3346;;503716;;501894;;1086;;97085;;97205;;699;;213160;;216496;;5812;;866960;;869572;;2756;;
;"Fracht in kg";113290042;;89742585;;19401800;;111370;;187630;;182;;41230;;56449;;578;;-;;-;;-;;2102606;;4425865;;3115294;;79300;;173770;;-;;
;"Post in kg";5458936;;7895292;;174678;;-;;-;;-;;-;;-;;-;;-;;-;;-;;446;;2200;;-;;-;;-;;-;;
"2017";"Flüge";112286;;112282;;-;;7136;;7135;;-;;6017;;6023;;-;;2169;;2168;;-;;3445;;3445;;-;;9740;;9739;;-;;
